"ANO_ELEICAO","NUM_TURNO","UF","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2018","1","AC","DEPUTADO FEDERAL","70","AVANTE","530"
"2018","1","AC","DEPUTADO FEDERAL","27","DC","953"
"2014","1","AC","DEPUTADO FEDERAL","25","DEM","23727"
"2010","1","AC","DEPUTADO FEDERAL","25","DEM","1421"
"2018","1","AC","DEPUTADO FEDERAL","25","DEM","22983"
"2018","1","AC","DEPUTADO FEDERAL","15","MDB","51154"
"2018","1","AC","DEPUTADO FEDERAL","51","PATRI","420"
"2006","1","AC","DEPUTADO FEDERAL","65","PC do B","30017"
"1998","1","AC","DEPUTADO FEDERAL","65","PC do B","1712"
"2014","1","AC","DEPUTADO FEDERAL","65","PC do B","18109"
"2002","1","AC","DEPUTADO FEDERAL","65","PC do B","22835"
"2010","1","AC","DEPUTADO FEDERAL","65","PC do B","35095"
"2018","1","AC","DEPUTADO FEDERAL","65","PC do B","19210"
"2002","1","AC","DEPUTADO FEDERAL","12","PDT","4570"
"1998","1","AC","DEPUTADO FEDERAL","12","PDT","10053"
"2006","1","AC","DEPUTADO FEDERAL","12","PDT","19951"
"2010","1","AC","DEPUTADO FEDERAL","12","PDT","3773"
"2014","1","AC","DEPUTADO FEDERAL","12","PDT","13026"
"2018","1","AC","DEPUTADO FEDERAL","12","PDT","41989"
"2014","1","AC","DEPUTADO FEDERAL","51","PEN","310"
"2006","1","AC","DEPUTADO FEDERAL","25","PFL","1314"
"2002","1","AC","DEPUTADO FEDERAL","25","PFL","7062"
"1998","1","AC","DEPUTADO FEDERAL","25","PFL","72987"
"2010","1","AC","DEPUTADO FEDERAL","31","PHS","283"
"2014","1","AC","DEPUTADO FEDERAL","31","PHS","6160"
"2018","1","AC","DEPUTADO FEDERAL","31","PHS","3948"
"1998","1","AC","DEPUTADO FEDERAL","22","PL","1358"
"2002","1","AC","DEPUTADO FEDERAL","22","PL","4422"
"2006","1","AC","DEPUTADO FEDERAL","22","PL","15037"
"2018","1","AC","DEPUTADO FEDERAL","35","PMB","4753"
"1998","1","AC","DEPUTADO FEDERAL","15","PMDB","29755"
"2014","1","AC","DEPUTADO FEDERAL","15","PMDB","39751"
"2002","1","AC","DEPUTADO FEDERAL","15","PMDB","29489"
"2010","1","AC","DEPUTADO FEDERAL","15","PMDB","43221"
"2006","1","AC","DEPUTADO FEDERAL","15","PMDB","28548"
"2014","1","AC","DEPUTADO FEDERAL","33","PMN","1346"
"2006","1","AC","DEPUTADO FEDERAL","33","PMN","28844"
"2010","1","AC","DEPUTADO FEDERAL","33","PMN","16062"
"2018","1","AC","DEPUTADO FEDERAL","33","PMN","5820"
"2002","1","AC","DEPUTADO FEDERAL","33","PMN","9911"
"1998","1","AC","DEPUTADO FEDERAL","33","PMN","1210"
"2018","1","AC","DEPUTADO FEDERAL","19","PODE","6644"
"2014","1","AC","DEPUTADO FEDERAL","11","PP","31228"
"2010","1","AC","DEPUTADO FEDERAL","11","PP","34203"
