aa_eleicao;sg_uf;sg_partido;qt_votos_nom_validos;qt_total_vt_leg_validos;qt_votos_validos;qt_eleitoral;80_quociente;quociente_partidario
2022;AC;PMN;119;64;183;54282;43425,6;0,003371283
2022;AC;AGIR;292;31;323;54282;43425,6;0,005950407
2022;AC;CIDADANIA;392;99;491;54282;43425,6;0,009045356
2022;AC;PSC;680;24;704;54282;43425,6;0,012969308
2022;AC;PSOL;802;103;905;54282;43425,6;0,016672193
2022;AC;PROS;925;444;1369;54282;43425,6;0,025220147
2022;AC;PATRIOTA;1151;332;1483;54282;43425,6;0,02732029
2022;AC;PV;2030;62;2092;54282;43425,6;0,038539479
2022;AC;REDE;2901;115;3016;54282;43425,6;0,055561696
2022;AC;SOLIDARIEDADE;3985;362;4347;54282;43425,6;0,080081795
2022;AC;PSB;5816;505;6321;54282;43425,6;0,116447441
2022;AC;PC do B;15054;413;15467;54282;43425,6;0,284937917
2022;AC;PT;18602;1885;20487;54282;43425,6;0,377417929
2022;AC;PODE;20239;830;21069;54282;43425,6;0,388139715
2022;AC;PDT;19583;2273;21856;54282;43425,6;0,402638075
2022;AC;PSD;23485;673;24158;54282;43425,6;0,44504624
2022;AC;PSDB;32696;716;33412;54282;43425,6;0,615526325
2022;AC;MDB;37923;1089;39012;54282;43425,6;0,718691279
2022;AC;REPUBLICANOS;57575;1442;59017;54282;43425,6;1,087229653
2022;AC;UNIÃO;83195;1744;84939;54282;43425,6;1,564772853
2022;AC;PP;91304;2298;93602;54282;43425,6;1,724365351
2022;AL;PRTB;0;38;38;183408;146726,4;0,000207188
2022;AL;PCO;74;15;89;183408;146726,4;0,000485257
2022;AL;PROS;0;121;121;183408;146726,4;0,000659731
2022;AL;DC;173;38;211;183408;146726,4;0,001150441
2022;AL;PC do B;0;230;230;183408;146726,4;0,001254035
2022;AL;REDE;0;272;272;183408;146726,4;0,001483032
2022;AL;PMB;255;128;383;183408;146726,4;0,00208824
2022;AL;PSTU;256;271;527;183408;146726,4;0,002873375
2022;AL;AGIR;538;121;659;183408;146726,4;0,003593082
2022;AL;PMN;772;320;1092;183408;146726,4;0,005953939
2022;AL;SOLIDARIEDADE;1417;448;1865;183408;146726,4;0,010168586
2022;AL;UP;2298;71;2369;183408;146726,4;0,012916558
2022;AL;PATRIOTA;2634;406;3040;183408;146726,4;0,016575068
2022;AL;CIDADANIA;2932;334;3266;183408;146726,4;0,017807293
2022;AL;PSOL;4159;465;4624;183408;146726,4;0,02521155
2022;AL;AVANTE;5197;1521;6718;183408;146726,4;0,036628718
2022;AL;PTB;9620;1118;10738;183408;146726,4;0,058547064
2022;AL;PDT;10385;5633;16018;183408;146726,4;0,08733534
2022;AL;PSDB;42086;1618;43704;183408;146726,4;0,238288406
2022;AL;PSD;77555;1034;78589;183408;146726,4;0,428492759
2022;AL;PT;69519;9583;79102;183408;146726,4;0,431289802
2022;AL;PSB;117029;892;117921;183408;146726,4;0,642943601
2022;AL;REPUBLICANOS;144070;2453;146523;183408;146726,4;0,798890997
2022;AL;PV;152789;2189;154978;183408;146726,4;0,844990404
2022;AL;UNIÃO;167578;3354;170932;183408;146726,4;0,931976795
2022;AL;MDB;245321;15392;260713;183408;146726,4;1,421491974
2022;AL;PP;534588;11453;546041;183408;146726,4;2,977192925
2022;AM;NOVO;0;0;0;247060;197648;0
2022;AM;PODE;31;143;174;247060;197648;0,000704282
2022;AM;AGIR;2187;97;2284;247060;197648;0,009244718
2022;AM;PROS;2214;144;2358;247060;197648;0,00954424
2022;AM;PV;1468;932;2400;247060;197648;0,009714239
2022;AM;PSOL;1634;830;2464;247060;197648;0,009973286
2022;AM;DC;2034;518;2552;247060;197648;0,010329475
2022;AM;PSB;1120;2248;3368;247060;197648;0,013632316
2022;AM;PMN;3954;781;4735;247060;197648;0,019165385
2022;AM;PTB;4698;488;5186;247060;197648;0,020990852
2022;AM;SOLIDARIEDADE;6554;740;7294;247060;197648;0,029523193
2022;AM;PSDB;7797;1709;9506;247060;197648;0,038476483
2022;AM;PSC;6560;5366;11926;247060;197648;0,048271675
2022;AM;PDT;9588;2646;12234;247060;197648;0,049518336
2022;AM;PATRIOTA;12536;1206;13742;247060;197648;0,055622116
2022;AM;REDE;27793;303;28096;247060;197648;0,113721363
2022;AM;MDB;35390;2278;37668;247060;197648;0,152464988
2022;AM;PC do B;36816;979;37795;247060;197648;0,152979033
2022;AM;PT;108788;5879;114667;247060;197648;0,464126123
2022;AM;AVANTE;137099;4523;141622;247060;197648;0,573229175
2022;AM;PL;227086;7402;234488;247060;197648;0,949113576
2022;AM;REPUBLICANOS;287065;4484;291549;247060;197648;1,180073666
2022;AM;CIDADANIA;311831;2392;314223;247060;197648;1,271848944
2022;AM;PSD;317043;6301;323344;247060;197648;1,308767101
2022;AM;UNIÃO;363768;9034;372802;247060;197648;1,508953291
2022;AP;PCO;0;0;0;52877;42301,6;0
2022;AP;AGIR;44;16;60;52877;42301,6;0,001134709
2022;AP;CIDADANIA;0;282;282;52877;42301,6;0,005333132
2022;AP;PRTB;639;165;804;52877;42301,6;0,015205099
2022;AP;PATRIOTA;1136;39;1175;52877;42301,6;0,022221382
2022;AP;AVANTE;1307;203;1510;52877;42301,6;0,028556839
2022;AP;PV;2643;335;2978;52877;42301,6;0,056319383
2022;AP;PSD;5536;573;6109;52877;42301,6;0,115532273
2022;AP;PSOL;10402;156;10558;52877;42301,6;0,199670934
2022;AP;PT;14090;801;14891;52877;42301,6;0,281615825
2022;AP;PSB;15303;329;15632;52877;42301,6;0,29562948
2022;AP;PSC;15819;321;16140;52877;42301,6;0,305236681
2022;AP;PSDB;17172;395;17567;52877;42301,6;0,33222384
2022;AP;PC do B;18281;266;18547;52877;42301,6;0,350757418
2022;AP;REDE;25266;401;25667;52877;42301,6;0,485409535
2022;AP;PODE;26279;522;26801;52877;42301,6;0,506855533
2022;AP;PTB;26937;501;27438;52877;42301,6;0,518902358
2022;AP;REPUBLICANOS;37790;556;38346;52877;42301,6;0,725192428
2022;AP;PP;38443;643;39086;52877;42301,6;0,73918717
2022;AP;MDB;44541;1156;45697;52877;42301,6;0,864213174
2022;AP;PL;47480;1361;48841;52877;42301,6;0,923671918
2022;AP;PDT;63498;1390;64888;52877;42301,6;1,2271498
2022;BA;PCO;0;275;275;204062;163249,6;0,00134763
2022;BA;PRTB;1091;2610;3701;204062;163249,6;0,018136645
2022;BA;UP;3433;610;4043;204062;163249,6;0,019812606
2022;BA;AGIR;3360;1135;4495;204062;163249,6;0,022027619
2022;BA;DC;5479;474;5953;204062;163249,6;0,029172506
2022;BA;PCB;4099;1918;6017;204062;163249,6;0,029486137
