aa_eleicao;sg_uf;cd_cargo;nm_cargo;qt_votos_validos_qe;qt_vagas_qe;vr_quociente_eleitoral;tx_legenda_tot;qt_vagas_qp_preenchida;qt_vagas_media_qp;qt_vagas_qp_obtida;qt_votos_coligacao_qp
2022;SP;6;Deputado Federal;23375585;70;333937;PL;16;1;16;5343667
2022;SP;7;Deputado Estadual;23245861;94;247296;PL;16;3;16;4144519
2022;SP;7;Deputado Estadual;23245861;94;247296;PT / PV / PC do B;16;3;16;4022853
2022;SP;6;Deputado Federal;23375585;70;333937;PT / PV / PC do B;9;2;9;3132607
2022;SP;7;Deputado Estadual;23245861;94;247296;CIDADANIA / PSDB;10;2;10;2552319
2022;MG;6;Deputado Federal;11181098;53;210964;PL;11;0;11;2383410
2022;SP;6;Deputado Federal;23375585;70;333937;REDE / PSOL;6;0;6;2288861
2022;MG;7;Deputado Estadual;11076602;77;143852;PT / PV / PC do B;14;3;14;2072454
2022;BA;7;Deputado Estadual;7937716;63;125995;PT / PV / PC do B;15;2;15;1927771
2022;RJ;7;Deputado Estadual;8492935;70;121328;PL;15;2;15;1828019
2022;SP;6;Deputado Federal;23375585;70;333937;UNIÃO;5;1;5;1811462
2022;MG;6;Deputado Federal;11181098;53;210964;PT / PV / PC do B;8;2;8;1787525
2022;SP;7;Deputado Estadual;23245861;94;247296;REPUBLICANOS;7;1;7;1767011
2022;BA;6;Deputado Federal;7958431;39;204062;PT / PV / PC do B;8;2;8;1761003
2022;RJ;6;Deputado Federal;8575988;46;186435;PL;9;2;9;1717302
2022;SP;7;Deputado Estadual;23245861;94;247296;UNIÃO;6;1;6;1689297
2022;SP;6;Deputado Federal;23375585;70;333937;MDB;4;1;4;1613626
2022;SP;6;Deputado Federal;23375585;70;333937;REPUBLICANOS;4;1;4;1580891
2022;PR;7;Deputado Estadual;6058064;54;112186;PSD;13;3;13;1549527
2022;PA;6;Deputado Federal;4521516;17;265972;MDB;5;4;5;1519004
2022;SP;6;Deputado Federal;23375585;70;333937;CIDADANIA / PSDB;4;1;4;1500112
2022;SP;7;Deputado Estadual;23245861;94;247296;REDE / PSOL;6;0;6;1496620
2022;MG;7;Deputado Estadual;11076602;77;143852;PL;9;0;9;1306136
