ESTADOS,partido,cadeiras,ANO_ELEICAO,ambito
Rondônia,PMDB,5,1986,cadeira
Rondônia,PFL,3,1986,cadeira
Acre,PMDB,5,1986,cadeira
Acre,PFL,1,1986,cadeira
Acre,PDS,2,1986,cadeira
Amazonas,PMDB,3,1986,cadeira
Amazonas,PFL,3,1986,cadeira
Amazonas,PDT,1,1986,cadeira
Amazonas,PSB,1,1986,cadeira
Roraima,PFL,2,1986,cadeira
Roraima,PTB,2,1986,cadeira
Pará,PMDB,13,1986,cadeira
Pará,PFL,2,1986,cadeira
Pará,PDS,2,1986,cadeira
Amapá,PMDB,1,1986,cadeira
Amapá,PFL,3,1986,cadeira
Maranhão,PMDB,8,1986,cadeira
Maranhão,PFL,8,1986,cadeira
Maranhão,PDS,2,1986,cadeira
Piauí,PMDB,2,1986,cadeira
Piauí,PFL,5,1986,cadeira
Piauí,PDS,3,1986,cadeira
Ceará,PMDB,12,1986,cadeira
Ceará,PFL,6,1986,cadeira
Ceará,PDS,3,1986,cadeira
Ceará,PDT,1,1986,cadeira
R. G. do Norte,PMDB,4,1986,cadeira
R. G. do Norte,PFL,3,1986,cadeira
R. G. do Norte,PDS,1,1986,cadeira
Paraíba,PMDB,7,1986,cadeira
Paraíba,PFL,4,1986,cadeira
Paraíba,PDS,1,1986,cadeira
Pernambuco,PMDB,13,1986,cadeira
Pernambuco,PFL,11,1986,cadeira
Pernambuco,PCB,1,1986,cadeira
Alagoas,PMDB,4,1986,cadeira
Alagoas,PFL,4,1986,cadeira
Alagoas,PTB,1,1986,cadeira
Sergipe,PMDB,3,1986,cadeira
Sergipe,PFL,4,1986,cadeira
Sergipe,PDS,1,1986,cadeira
Bahia,PMDB,22,1986,cadeira
Bahia,PFL,14,1986,cadeira
Bahia,PCB,1,1986,cadeira
Bahia,PC do B,2,1986,cadeira
Minas Gerais,PMDB,35,1986,cadeira
Minas Gerais,PFL,10,1986,cadeira
Minas Gerais,PDS,3,1986,cadeira
Minas Gerais,PDT,1,1986,cadeira
Minas Gerais,PTB,1,1986,cadeira
Minas Gerais,PT,3,1986,cadeira
Espírito Santo,PMDB,7,1986,cadeira
Espírito Santo,PFL,2,1986,cadeira
Espírito Santo,PT,1,1986,cadeira
Rio de Janeiro,PMDB,13,1986,cadeira
Rio de Janeiro,PFL,7,1986,cadeira
Rio de Janeiro,PDS,1,1986,cadeira
Rio de Janeiro,PDT,13,1986,cadeira
Rio de Janeiro,PTB,3,1986,cadeira
Rio de Janeiro,PT,2,1986,cadeira
Rio de Janeiro,PL,5,1986,cadeira
Rio de Janeiro,PDC,1,1986,cadeira
Rio de Janeiro,PC do B,1,1986,cadeira
São Paulo,PMDB,28,1986,cadeira
São Paulo,PFL,6,1986,cadeira
São Paulo,PDS,4,1986,cadeira
