ESTADOS,ANO_ELEICAO,partido_eleito,total
AC,1994,13,concorreu
AC,1998,17,concorreu
AC,2002,18,concorreu
AC,2006,19,concorreu
AC,2010,22,concorreu
AC,2014,28,concorreu
AC,2018,31,concorreu
AC,2022,17,concorreu
AL,1994,18,concorreu
AL,1998,26,concorreu
AL,2002,27,concorreu
AL,2006,27,concorreu
AL,2010,25,concorreu
AL,2014,28,concorreu
AL,2018,33,concorreu
AL,2022,23,concorreu
AM,1994,17,concorreu
AM,1998,16,concorreu
AM,2002,28,concorreu
AM,2006,27,concorreu
AM,2010,26,concorreu
AM,2014,31,concorreu
AM,2018,32,concorreu
AM,2022,20,concorreu
AP,1994,16,concorreu
AP,1998,21,concorreu
AP,2002,25,concorreu
AP,2006,21,concorreu
AP,2010,24,concorreu
AP,2014,28,concorreu
AP,2018,29,concorreu
AP,2022,17,concorreu
BA,1994,17,concorreu
BA,1998,24,concorreu
BA,2002,27,concorreu
BA,2006,28,concorreu
BA,2010,25,concorreu
BA,2014,30,concorreu
BA,2018,33,concorreu
BA,2022,26,concorreu
CE,1994,18,concorreu
CE,1998,23,concorreu
CE,2002,25,concorreu
CE,2006,28,concorreu
CE,2010,26,concorreu
CE,2014,31,concorreu
CE,2018,33,concorreu
CE,2022,23,concorreu
DF,1994,20,concorreu
DF,1998,28,concorreu
DF,2002,28,concorreu
DF,2006,29,concorreu
DF,2010,27,concorreu
DF,2014,32,concorreu
DF,2018,35,concorreu
DF,2022,26,concorreu
ES,1994,17,concorreu
ES,1998,25,concorreu
ES,2002,28,concorreu
ES,2006,26,concorreu
ES,2010,23,concorreu
ES,2014,31,concorreu
ES,2018,33,concorreu
ES,2022,22,concorreu
GO,1994,19,concorreu
GO,1998,20,concorreu
GO,2002,25,concorreu
GO,2006,26,concorreu
GO,2010,25,concorreu
GO,2014,23,concorreu
GO,2018,33,concorreu
GO,2022,24,concorreu
MA,1998,26,concorreu
MA,2002,27,concorreu
MA,2006,27,concorreu
MA,2010,24,concorreu
MA,2014,31,concorreu
MA,2018,33,concorreu
MA,2022,26,concorreu
MG,1994,20,concorreu
MG,1998,28,concorreu
MG,2002,28,concorreu
MG,2006,27,concorreu
MG,2010,27,concorreu
MG,2014,32,concorreu
MG,2018,35,concorreu
MG,2022,28,concorreu
MS,1994,18,concorreu
MS,1998,26,concorreu
MS,2002,26,concorreu
MS,2006,24,concorreu
MS,2010,24,concorreu
MS,2014,30,concorreu
MS,2018,33,concorreu
MS,2022,20,concorreu
MT,1994,35,concorreu
MT,1998,18,concorreu
MT,2002,24,concorreu
MT,2006,26,concorreu
MT,2010,21,concorreu
MT,2014,28,concorreu
MT,2018,32,concorreu
MT,2022,19,concorreu
PA,1994,20,concorreu
PA,1998,19,concorreu
PA,2002,28,concorreu
PA,2006,27,concorreu
PA,2010,24,concorreu
PA,2014,30,concorreu
PA,2018,32,concorreu
PA,2022,22,concorreu
PB,1994,18,concorreu
PB,1998,17,concorreu
PB,2002,27,concorreu
PB,2006,27,concorreu
PB,2010,26,concorreu
PB,2014,30,concorreu
PB,2018,31,concorreu
PB,2022,23,concorreu
PE,1994,19,concorreu
PE,1998,29,concorreu
PE,2002,29,concorreu
PE,2006,29,concorreu
PE,2010,26,concorreu
PE,2014,31,concorreu
PE,2018,34,concorreu
PE,2022,26,concorreu
