ESTADOS,partido,votos,ANO_ELEICAO
RO,PMDB,18490,1994
RO,PSDB,70182,1994
RO,PFL,11139,1994
RO,PT,34070,1994
RO,PPR,5573,1994
RO,PDT,14878,1994
RO,PP,61111,1994
RO,PTB,15448,1994
RO,PL,33128,1994
RO,PSB,19036,1994
RO,PC do B,1119,1994
RO,PSD,2282,1994
RO,PRONA,1226,1994
RO,PMN,2290,1994
RO,PPS,911,1994
RO,PSC,63,1994
RO,PRP,765,1994
RO,PRN,1589,1994
RO,PV,1427,1994
AC,PMDB,53889,1994
AC,PSDB,1782,1994
AC,PFL,574,1994
AC,PT,7245,1994
AC,PPR,49076,1994
AC,PDT,2285,1994
AC,PP,7605,1994
AC,PTB,921,1994
AC,PSB,207,1994
AC,PC do B,12905,1994
AC,PRONA,59,1994
AC,PV,344,1994
AC,PSTU,848,1994
AM,PMDB,165427,1994
AM,PSDB,70600,1994
AM,PFL,64394,1994
AM,PT,13596,1994
AM,PPR,133531,1994
AM,PDT,15617,1994
AM,PP,45195,1994
AM,PTB,128,1994
AM,PL,6790,1994
AM,PSB,2064,1994
AM,PC do B,31792,1994
AM,PRONA,322,1994
AM,PMN,3230,1994
AM,PPS,39,1994
AM,PV,9,1994
AM,PSTU,804,1994
AM,PTdoB,22,1994
RR,PMDB,2454,1994
RR,PSDB,6436,1994
RR,PFL,7567,1994
RR,PT,1082,1994
RR,PPR,10664,1994
RR,PDT,2129,1994
RR,PP,1763,1994
RR,PTB,35123,1994
RR,PL,1530,1994
RR,PSB,695,1994
RR,PSD,623,1994
RR,PMN,22,1994
RR,PPS,1,1994
RR,PSC,5074,1994
RR,PRP,1,1994
RR,PRN,4,1994
RR,PV,438,1994
PA,PMDB,403815,1994
PA,PSDB,32250,1994
PA,PFL,51109,1994
PA,PT,136313,1994
PA,PPR,216289,1994
PA,PDT,43352,1994
PA,PP,46629,1994
PA,PTB,51224,1994
PA,PL,1823,1994
PA,PSB,18784,1994
PA,PC do B,24743,1994
PA,PSD,94,1994
PA,PRONA,2571,1994
PA,PMN,22,1994
PA,PPS,1764,1994
PA,PSC,7278,1994
PA,PRN,3210,1994
PA,PV,578,1994
PA,PSTU,4186,1994
PA,PCB,32,1994
AP,PMDB,15594,1994
AP,PSDB,1716,1994
AP,PFL,32870,1994
AP,PT,8252,1994
AP,PPR,5578,1994
AP,PDT,6023,1994
AP,PP,7904,1994
AP,PTB,4963,1994
AP,PL,906,1994
AP,PSB,9962,1994
AP,PC do B,315,1994
AP,PSD,3793,1994
AP,PRONA,253,1994
AP,PPS,2,1994
AP,PRP,820,1994
AP,PV,2,1994
TO,PMDB,84640,1994
TO,PSDB,9041,1994
TO,PFL,46489,1994
TO,PT,8244,1994
TO,PPR,102826,1994
TO,PDT,153,1994
TO,PP,46905,1994
TO,PTB,2884,1994
TO,PSB,8,1994
TO,PC do B,4,1994
TO,PSD,344,1994
TO,PRONA,272,1994
TO,PMN,6,1994
TO,PPS,117,1994
TO,PV,12,1994
MT,PMDB,250649,1994
MT,PSDB,77336,1994
MT,PFL,336534,1994
MT,PT,78621,1994
MT,PPR,46776,1994
MT,PDT,76701,1994
MT,PP,85786,1994
MT,PTB,294,1994
MT,PL,1738,1994
MT,PSB,33638,1994
MT,PC do B,370,1994
MT,PSD,1152,1994
MT,PMN,3469,1994
MT,PPS,776,1994
MT,PSC,43005,1994
MT,PRP,5309,1994
MT,PRN,114,1994
MT,PSTU,383,1994
MT,PTRB,877,1994
PI,PMDB,139327,1994
PI,PSDB,11925,1994
PI,PFL,292505,1994
PI,PT,60638,1994
PI,PPR,160365,1994
PI,PDT,2042,1994
PI,PP,75072,1994
PI,PTB,23093,1994
PI,PL,1248,1994
PI,PSB,8645,1994
PI,PC do B,14534,1994
PI,PMN,937,1994
PI,PPS,19,1994
CE,PMDB,437829,1994
CE,PSDB,910649,1994
CE,PFL,125587,1994
CE,PT,90355,1994
CE,PPR,44311,1994
CE,PDT,51700,1994
CE,PP,139365,1994
CE,PTB,3037,1994
CE,PL,3561,1994
CE,PSB,28040,1994
CE,PC do B,91909,1994
CE,PSD,2487,1994
CE,PRONA,3311,1994
CE,PMN,2304,1994
CE,PPS,1026,1994
CE,PSC,6502,1994
CE,PSTU,2463,1994
CE,PCB,929,1994
RN,PMDB,166097,1994
RN,PSDB,118941,1994
RN,PFL,327665,1994
RN,PT,46190,1994
RN,PPR,4997,1994
RN,PDT,11592,1994
RN,PP,12,1994
RN,PTB,106,1994
RN,PL,41548,1994
RN,PSB,8691,1994
RN,PC do B,4982,1994
RN,PMN,536,1994
RN,PPS,130,1994
RN,PSC,2051,1994
RN,PV,577,1994
RN,PSTU,2730,1994
PB,PMDB,483803,1994
PB,PSDB,22337,1994
PB,PFL,184545,1994
PB,PT,43490,1994
PB,PPR,59471,1994
PB,PDT,108000,1994
PB,PP,70,1994
PB,PTB,33906,1994
PB,PL,11791,1994
PB,PSB,1130,1994
PB,PC do B,3248,1994
PB,PSD,19,1994
PB,PPS,40,1994
PB,PSC,26,1994
PB,PRP,10,1994
PB,PRN,2960,1994
PB,PV,7,1994
PB,PSTU,700,1994
PE,PMDB,42498,1994
PE,PSDB,95162,1994
PE,PFL,779194,1994
PE,PT,172470,1994
PE,PPR,5407,1994
PE,PDT,91949,1994
PE,PP,36702,1994
PE,PTB,19494,1994
PE,PL,17787,1994
PE,PSB,462931,1994
PE,PC do B,12564,1994
PE,PSD,5109,1994
PE,PMN,55332,1994
PE,PPS,19788,1994
PE,PSC,3346,1994
PE,PRP,254,1994
PE,PRN,31811,1994
PE,PV,179,1994
PE,PSTU,1656,1994
AL,PMDB,93603,1994
AL,PSDB,63485,1994
AL,PFL,35967,1994
AL,PT,16682,1994
AL,PPR,39799,1994
AL,PDT,1325,1994
AL,PP,91880,1994
AL,PTB,42086,1994
AL,PL,13084,1994
AL,PSB,5141,1994
AL,PC do B,3831,1994
AL,PSD,43189,1994
AL,PMN,624,1994
AL,PPS,2780,1994
AL,PSC,32623,1994
AL,PRP,953,1994
AL,PRN,1501,1994
AL,PSTU,1345,1994
SE,PMDB,99232,1994
SE,PSDB,28682,1994
SE,PFL,75550,1994
SE,PT,33334,1994
SE,PPR,76347,1994
SE,PDT,45072,1994
SE,PP,25338,1994
SE,PTB,1651,1994
SE,PL,1409,1994
SE,PSB,1272,1994
SE,PC do B,7805,1994
SE,PMN,71508,1994
SE,PPS,213,1994
SE,PSC,369,1994
SE,PRP,18,1994
SE,PV,664,1994
SE,PSTU,51,1994
BA,PMDB,401763,1994
BA,PSDB,296487,1994
BA,PFL,1026574,1994
BA,PT,240431,1994
BA,PPR,83063,1994
BA,PDT,172556,1994
BA,PP,102879,1994
BA,PTB,136721,1994
BA,PL,189861,1994
BA,PSB,69042,1994
BA,PC do B,39581,1994
BA,PSD,23264,1994
BA,PMN,46840,1994
BA,PPS,37788,1994
BA,PSC,32343,1994
BA,PRN,8299,1994
BA,PV,377,1994
MG,PMDB,968924,1994
MG,PSDB,853258,1994
MG,PFL,709770,1994
MG,PT,619616,1994
MG,PPR,135659,1994
MG,PDT,173574,1994
MG,PP,685182,1994
MG,PTB,398126,1994
MG,PL,137460,1994
MG,PSB,17478,1994
MG,PC do B,23968,1994
MG,PSD,27178,1994
MG,PRONA,17738,1994
MG,PMN,35344,1994
MG,PPS,21038,1994
MG,PSC,7352,1994
MG,PRP,16559,1994
MG,PRN,4679,1994
MG,PV,3526,1994
MG,PSTU,6916,1994
ES,PMDB,226707,1994
ES,PSDB,141906,1994
ES,PFL,472,1994
ES,PT,98615,1994
ES,PPR,9627,1994
ES,PDT,134776,1994
ES,PP,18477,1994
ES,PTB,101877,1994
ES,PL,2232,1994
ES,PSB,60696,1994
ES,PC do B,12966,1994
ES,PSD,1382,1994
ES,PMN,9778,1994
ES,PPS,3219,1994
ES,PSC,488,1994
ES,PRP,1677,1994
ES,PRN,341,1994
RJ,PMDB,378616,1994
RJ,PSDB,615439,1994
RJ,PFL,206484,1994
RJ,PT,473443,1994
RJ,PPR,586266,1994
RJ,PDT,813331,1994
RJ,PP,381254,1994
RJ,PTB,160529,1994
RJ,PL,254260,1994
RJ,PSB,118421,1994
RJ,PC do B,101803,1994
RJ,PSD,100188,1994
RJ,PRONA,102123,1994
RJ,PMN,11145,1994
RJ,PPS,71049,1994
RJ,PSC,38214,1994
RJ,PRP,27471,1994
RJ,PRN,18012,1994
RJ,PV,41847,1994
RJ,PSTU,16239,1994
SP,PMDB,2200842,1994
SP,PSDB,2228334,1994
SP,PFL,456019,1994
SP,PT,2203758,1994
SP,PPR,1029448,1994
SP,PDT,271492,1994
SP,PP,278324,1994
SP,PTB,505337,1994
SP,PL,716940,1994
SP,PSB,77413,1994
SP,PC do B,48649,1994
SP,PSD,198584,1994
SP,PRONA,171421,1994
SP,PMN,5051,1994
SP,PPS,21715,1994
SP,PSC,5806,1994
SP,PRP,147801,1994
SP,PRN,41505,1994
SP,PV,19892,1994
SP,PSTU,20698,1994
SP,PTRB,4869,1994
PR,PMDB,426616,1994
PR,PSDB,179125,1994
PR,PFL,390319,1994
PR,PT,349760,1994
PR,PPR,152940,1994
PR,PDT,369746,1994
PR,PP,485170,1994
PR,PTB,332998,1994
PR,PL,16045,1994
PR,PSB,6483,1994
PR,PC do B,35810,1994
PR,PSD,18918,1994
PR,PRONA,11559,1994
PR,PMN,2015,1994
PR,PPS,4019,1994
PR,PSC,8816,1994
PR,PRP,691,1994
PR,PRN,3143,1994
PR,PV,560,1994
SC,PMDB,509651,1994
SC,PSDB,34923,1994
SC,PFL,302865,1994
SC,PT,154945,1994
SC,PPR,365545,1994
SC,PDT,154708,1994
SC,PTB,22857,1994
SC,PL,16884,1994
SC,PSB,2659,1994
SC,PC do B,17076,1994
SC,PSD,7451,1994
SC,PRONA,5643,1994
SC,PMN,622,1994
SC,PPS,14600,1994
SC,PSC,2619,1994
SC,PRP,1467,1994
SC,PRN,1765,1994
SC,PV,1506,1994
SC,PSTU,2247,1994
SC,PCB,97,1994
SC,PTRB,26,1994
RS,PMDB,864399,1994
RS,PSDB,240002,1994
RS,PFL,84160,1994
RS,PT,675911,1994
RS,PPR,669667,1994
RS,PDT,539646,1994
RS,PP,24560,1994
RS,PTB,280974,1994
RS,PL,25529,1994
RS,PSB,16195,1994
RS,PC do B,15467,1994
RS,PRONA,16890,1994
RS,PMN,3369,1994
RS,PPS,9385,1994
RS,PSC,1272,1994
RS,PRN,5708,1994
RS,PV,1980,1994
RS,PSTU,4425,1994
MS,PMDB,208230,1994
MS,PSDB,50853,1994
MS,PFL,99894,1994
MS,PT,55985,1994
MS,PPR,317,1994
MS,PDT,61052,1994
MS,PP,27421,1994
MS,PTB,81992,1994
MS,PL,60,1994
MS,PSB,32,1994
MS,PC do B,2590,1994
MS,PSD,60,1994
MS,PRONA,2536,1994
MS,PMN,2924,1994
MS,PPS,83,1994
MS,PSC,1728,1994
MS,PV,2423,1994
MS,PSTU,39,1994
MT,PMDB,74061,1994
MT,PSDB,120303,1994
MT,PFL,49833,1994
MT,PT,32021,1994
MT,PPR,32516,1994
MT,PDT,55308,1994
MT,PP,41,1994
MT,PTB,77521,1994
MT,PL,75771,1994
MT,PSB,34,1994
MT,PC do B,67,1994
MT,PMN,1381,1994
MT,PPS,24,1994
MT,PSC,1233,1994
MT,PRN,2271,1994
MT,PV,18,1994
GO,PMDB,473188,1994
GO,PSDB,64798,1994
GO,PFL,78637,1994
GO,PT,123088,1994
GO,PPR,165350,1994
GO,PDT,5238,1994
GO,PP,204546,1994
GO,PTB,43054,1994
GO,PL,13013,1994
GO,PSB,3989,1994
GO,PC do B,29819,1994
GO,PSD,247,1994
GO,PMN,2966,1994
GO,PPS,627,1994
GO,PSC,1343,1994
GO,PRP,1495,1994
GO,PRN,35664,1994
GO,PV,737,1994
GO,PSTU,1786,1994
DF,PMDB,13207,1994
DF,PSDB,27951,1994
DF,PFL,54200,1994
DF,PT,181699,1994
DF,PPR,10155,1994
DF,PDT,13044,1994
DF,PP,190504,1994
DF,PTB,2464,1994
DF,PL,7379,1994
DF,PSB,1852,1994
DF,PC do B,24204,1994
DF,PSD,1104,1994
DF,PRONA,9227,1994
DF,PMN,1838,1994
DF,PPS,46964,1994
DF,PSC,4055,1994
DF,PRP,2668,1994
DF,PRN,30796,1994
DF,PV,325,1994
DF,PSTU,707,1994
AC,PC do B,1712,1998
AC,PDT,10053,1998
AC,PFL,72987,1998
AC,PL,1358,1998
AC,PMDB,29755,1998
AC,PMN,1210,1998
AC,PPB,29472,1998
AC,PPS,533,1998
AC,PRONA,931,1998
AC,PSB,890,1998
AC,PSDB,12017,1998
AC,PSL,40,1998
AC,PSTU,58,1998
AC,PT,47880,1998
AC,PT do B,328,1998
AC,PTB,238,1998
AC,PV,90,1998
AL,PAN,352,1998
AL,PC do B,13621,1998
AL,PDT,28821,1998
AL,PFL,81822,1998
AL,PGT,225,1998
AL,PL,3530,1998
AL,PMDB,123223,1998
AL,PMN,70702,1998
AL,PPB,44740,1998
AL,PPS,32255,1998
AL,PRN,3843,1998
AL,PRONA,1796,1998
AL,PRP,2761,1998
AL,PRTB,229,1998
AL,PSB,104173,1998
AL,PSC,268,1998
AL,PSD,66172,1998
AL,PSDB,159426,1998
AL,PSN,3831,1998
AL,PST,360,1998
AL,PSTU,1294,1998
AL,PT,54907,1998
AL,PT do B,718,1998
AL,PTB,57652,1998
AL,PTN,1249,1998
AL,PV,625,1998
AM,PC do B,69148,1998
AM,PDT,4415,1998
AM,PFL,362505,1998
AM,PL,72744,1998
AM,PMDB,9870,1998
AM,PMN,6014,1998
AM,PPB,72800,1998
AM,PPS,3445,1998
AM,PRONA,1420,1998
AM,PSB,3568,1998
AM,PSDB,110639,1998
AM,PSL,46099,1998
AM,PSTU,730,1998
AM,PT,20981,1998
AM,PT do B,674,1998
AM,PTB,70494,1998
AP,PAN,1606,1998
AP,PC do B,2735,1998
AP,PDT,19946,1998
AP,PFL,33186,1998
AP,PL,3212,1998
AP,PMDB,25332,1998
AP,PMN,36,1998
AP,PPB,12069,1998
AP,PPS,1348,1998
AP,PRONA,95,1998
AP,PRP,674,1998
AP,PSB,21106,1998
AP,PSC,1019,1998
AP,PSD,6727,1998
AP,PSDB,25395,1998
AP,PSL,447,1998
AP,PSTU,482,1998
AP,PT,12756,1998
AP,PT do B,26,1998
AP,PTB,8881,1998
AP,PV,324,1998
BA,PAN,16294,1998
BA,PC do B,68619,1998
BA,PCB,4288,1998
BA,PDT,128011,1998
BA,PFL,1955054,1998
BA,PL,96052,1998
BA,PMDB,339516,1998
BA,PMN,3421,1998
BA,PPB,151959,1998
BA,PPS,45351,1998
BA,PRN,4593,1998
BA,PRONA,23359,1998
BA,PRP,8162,1998
BA,PRTB,1936,1998
BA,PSB,53840,1998
BA,PSC,33006,1998
BA,PSDB,470051,1998
BA,PSN,3522,1998
BA,PST,812,1998
BA,PSTU,3197,1998
BA,PT,577608,1998
BA,PT do B,5140,1998
BA,PTB,152449,1998
BA,PV,7859,1998
CE,PAN,373,1998
CE,PC do B,142402,1998
CE,PCB,1679,1998
CE,PDT,30040,1998
CE,PFL,93164,1998
